timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1603269696285,240,/user/delete,204,,Spike Test 1-282,,true,,191,218,276,276,http://localhost:8082/user/delete/2445,0,0,0
1603269696286,241,/user/update,202,,Spike Test 1-250,text,true,,321,239,276,276,http://localhost:8082/user/update/2505,240,0,0
1603269696299,229,/task/create,201,,Spike Test 1-397,text,true,,293,273,276,276,http://localhost:8082/task/create,229,0,0
1603269696166,374,/user/readall,200,,Spike Test 1-256,text,true,,14958,128,277,277,http://localhost:8082/user/readall,373,0,0
1603269696540,3,/user/update,202,,Spike Test 1-256,text,true,,321,239,277,277,http://localhost:8082/user/update/2496,2,0,0
1603269696195,349,/user/readall,200,,Spike Test 1-253,text,true,,15109,128,277,277,http://localhost:8082/user/readall,349,0,0
1603269696301,243,/user/readall,200,,Spike Test 1-369,text,true,,15204,128,277,277,http://localhost:8082/user/readall,242,0,0
1603269696304,242,/task/create,201,,Spike Test 1-262,text,true,,293,273,277,277,http://localhost:8082/task/create,242,0,0
1603269696304,242,/user/update,202,,Spike Test 1-433,text,true,,321,239,277,277,http://localhost:8082/user/update/2277,242,0,0
1603269696547,1,/task/create,201,,Spike Test 1-433,text,true,,293,273,277,277,http://localhost:8082/task/create,1,0,0
1603269696287,267,/user/readall,200,,Spike Test 1-248,text,true,,15204,128,277,277,http://localhost:8082/user/readall,267,0,0
1603269696555,2,/user/update,202,,Spike Test 1-248,text,true,,321,239,277,277,http://localhost:8082/user/update/2509,1,0,0
1603269696548,9,/task/readall,200,,Spike Test 1-433,text,true,,2920,128,277,277,http://localhost:8082/task/readall,8,0,0
1603269696557,2,/task/create,201,,Spike Test 1-248,text,true,,293,273,278,278,http://localhost:8082/task/create,2,0,0
1603269696557,2,/task/update,202,,Spike Test 1-433,text,true,,293,300,278,278,http://localhost:8082/task/update/2397,2,0,0
1603269696306,255,/task/update,202,,Spike Test 1-398,text,true,,293,300,278,278,http://localhost:8082/task/update/2370,255,0,0
1603269696559,2,/user/delete,204,,Spike Test 1-433,,true,,191,218,278,278,http://localhost:8082/user/delete/2277,0,0,0
1603269696313,250,/task/update,202,,Spike Test 1-420,text,true,,293,300,278,278,http://localhost:8082/task/update/2371,250,0,0
1603269696195,369,/user/create,201,,Spike Test 1-241,text,true,,321,256,278,278,http://localhost:8082/user/create,368,0,1
1603269695767,798,/user/readall,200,,Spike Test 1-266,text,true,,15266,128,278,278,http://localhost:8082/user/readall,797,0,0
1603269696563,2,/user/delete,204,,Spike Test 1-420,,true,,191,218,278,278,http://localhost:8082/user/delete/2256,0,0,0
1603269696215,351,/user/create,201,,Spike Test 1-240,text,true,,321,256,278,278,http://localhost:8082/user/create,351,0,1
1603269696236,332,/user/create,201,,Spike Test 1-239,text,true,,321,256,278,278,http://localhost:8082/user/create,331,0,0
1603269696255,314,/user/create,201,,Spike Test 1-238,text,true,,321,256,278,278,http://localhost:8082/user/create,314,0,1
1603269696443,126,/user/readall,200,,Spike Test 1-402,text,true,,15018,128,278,278,http://localhost:8082/user/readall,125,0,0
1603269696569,2,/user/update,202,,Spike Test 1-402,text,true,,321,239,278,278,http://localhost:8082/user/update/2519,1,0,0
1603269696258,314,/user/create,201,,Spike Test 1-487,text,true,,321,256,278,278,http://localhost:8082/user/create,314,0,1
